0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
29,1,0,3,4,0,0,1,3,3,2,0,1,4,0,3,5,2,3,5,4,4,0,4,0,5,0,5,0,3,0,0,0,0,2,0,5,0,5,4,5,5,0,0,5,4,4,5,5,5,5,3,3,0,5,0,0,4,2,5,4,4,0,0,1,1,5,4,0,0,3,0,4,3,2,0,0,5,0,2,0,5,0,0,0,0,0,4,5,3,0,0,0,2,4,3
30,2,4,4,5,5,1,5,4,0,4,0,0,0,0,4,4,1,0,3,0,0,4,3,2,5,0,4,2,5,0,0,4,5,0,3,4,0,1,5,5,0,0,0,0,0,2,4,3,4,3,3,0,5,4,0,5,0,0,0,4,0,2,0,0,4,4,5,4,0,2,4,1,4,3,0,1,5,5,5,0,4,4,1,5,0,4,3,0,4,2,0,0,0,0,5
31,5,0,0,0,0,0,4,0,1,0,1,1,5,0,5,0,0,5,0,4,5,5,5,3,0,5,0,2,4,4,1,0,0,4,5,3,0,4,4,0,3,0,0,4,0,0,0,0,4,0,0,0,3,2,5,4,5,5,4,4,0,0,0,5,5,0,4,0,5,0,5,0,4,0,4,0,0,3,0,0,0,4,5,3,0,4,1,0,5,5,0,0,1,0,4
32,3,0,5,1,5,0,5,3,0,0,0,3,0,5,5,0,5,0,0,0,3,0,0,0,0,5,2,0,0,0,0,3,0,4,3,4,3,0,0,0,0,5,0,4,0,3,0,0,3,0,4,5,4,0,5,5,4,0,0,3,0,5,0,0,5,2,0,3,2,0,5,5,3,0,4,5,4,5,5,5,0,0,4,3,4,0,0,0,5,0,0,2,0,5,0
33,0,0,0,0,0,5,0,3,5,0,5,4,0,5,4,4,0,0,4,5,0,0,4,0,0,0,4,0,4,0,2,0,5,4,4,0,0,5,1,4,4,4,0,5,0,3,0,0,0,0,5,0,4,0,5,5,5,0,0,5,4,0,3,4,0,4,0,5,3,4,4,0,4,4,5,0,5,0,5,4,0,5,5,0,0,3,0,0,5,0,5,0,0,0,0
34,4,5,3,3,4,4,0,5,5,4,4,4,4,4,5,4,5,5,2,4,0,0,0,0,0,5,5,0,0,5,2,0,0,0,4,5,0,0,5,0,4,0,4,4,0,5,4,4,0,0,3,1,0,2,0,0,5,2,1,0,3,0,4,4,4,0,0,1,0,0,0,5,5,2,0,4,5,4,0,5,5,0,1,0,0,0,5,4,3,0,3,4,5,4,0
35,5,0,3,0,0,5,0,5,0,5,0,0,0,0,5,1,0,3,0,4,2,0,5,5,4,0,4,0,0,0,0,0,4,0,2,0,4,0,0,4,5,0,3,3,5,0,0,0,0,0,0,4,4,3,0,3,0,5,0,5,3,0,4,4,5,0,0,5,5,0,4,4,2,5,0,0,0,5,5,4,0,3,0,3,5,0,0,5,0,4,3,5,3,2,5
36,0,0,5,2,0,5,0,3,2,4,4,0,0,3,4,0,3,5,4,3,5,5,0,4,4,0,0,0,0,5,0,0,0,0,0,0,0,5,1,5,0,0,4,0,0,0,0,5,0,0,5,5,0,5,0,0,4,5,5,0,0,2,0,0,0,4,0,0,5,4,0,0,3,3,2,4,4,0,2,3,5,0,0,5,0,0,0,0,4,4,4,2,4,0,4
37,5,5,3,5,5,0,1,0,4,4,0,0,1,1,4,4,0,5,0,0,5,0,0,0,3,4,0,0,4,2,0,0,4,5,3,5,0,0,0,3,5,5,3,5,4,0,2,5,0,0,4,0,4,0,0,0,2,4,5,0,4,5,4,5,3,5,4,0,5,0,5,0,0,0,0,4,5,0,5,4,0,5,5,0,3,0,1,0,0,1,0,3,2,4,0
38,1,0,0,0,0,0,2,4,2,5,1,4,4,1,3,0,5,1,5,0,0,4,0,3,0,3,0,4,2,5,3,3,0,2,1,0,4,1,0,5,5,4,4,0,0,4,0,0,5,5,4,4,0,0,3,4,0,5,0,4,0,1,0,5,0,0,5,3,5,0,3,5,0,2,0,4,0,0,0,0,1,4,5,0,0,0,1,0,1,0,4,0,5,5,0
39,4,5,0,3,0,0,5,1,5,4,0,5,0,4,0,5,0,3,4,4,3,0,1,0,0,3,0,3,5,0,2,0,5,0,0,4,2,4,5,0,4,1,4,5,3,0,1,0,5,0,4,5,4,2,0,4,4,5,3,4,0,0,4,3,0,5,0,4,0,0,0,0,2,4,3,0,4,5,0,4,4,0,3,0,1,0,0,3,0,2,5,0,2,4,1
40,0,2,0,0,0,0,0,4,0,0,4,5,5,5,4,3,5,5,0,3,0,0,0,5,4,4,0,0,0,0,0,0,0,1,4,3,0,0,0,3,0,0,0,4,0,4,1,5,0,0,1,0,4,4,4,0,0,4,0,4,4,1,0,0,0,5,3,0,0,0,0,0,4,5,3,4,5,3,0,0,2,1,0,3,0,3,0,0,0,5,4,4,0,0,3
41,5,0,4,4,0,0,4,1,5,4,4,5,4,0,0,4,5,0,5,0,0,1,0,5,5,3,5,0,0,5,5,4,5,2,4,4,3,0,0,4,0,0,0,0,4,1,4,2,5,0,2,4,3,2,2,4,2,0,3,4,0,4,0,4,2,1,5,0,0,1,4,4,4,4,0,5,0,4,0,0,0,4,3,4,4,5,5,4,5,4,3,5,3,0,0
42,0,0,0,4,0,4,0,4,0,0,5,0,3,4,1,0,3,5,0,0,5,5,0,5,5,0,0,0,1,4,0,5,4,0,5,0,0,0,5,0,0,5,4,5,4,4,5,0,3,0,5,4,5,0,5,0,0,4,0,0,0,4,4,4,4,3,0,0,4,5,3,4,0,1,5,0,4,5,4,3,5,4,3,0,0,4,0,4,0,3,5,3,0,5,0
43,4,2,4,0,5,4,4,4,3,3,0,0,4,3,4,5,0,5,5,5,0,3,0,0,0,0,1,4,3,0,5,5,0,5,4,1,4,0,0,4,5,1,5,0,0,2,5,4,0,5,0,3,4,0,0,4,4,1,1,4,0,0,2,5,0,4,5,0,0,5,5,4,3,0,3,2,5,0,3,3,3,0,4,0,1,4,4,0,5,0,5,3,0,0,5
44,4,0,5,0,0,0,1,2,0,0,3,0,0,5,4,4,0,5,4,0,5,5,5,0,4,5,0,4,0,5,0,0,0,3,0,4,3,4,2,5,0,0,0,0,3,4,4,3,3,4,0,0,4,4,5,0,3,0,5,4,0,1,4,0,1,0,2,2,4,4,3,5,0,4,4,5,0,0,0,4,0,4,4,4,4,4,0,4,0,5,4,1,5,0,5
45,0,4,2,0,5,0,0,0,5,0,3,4,5,0,3,4,0,0,0,5,0,0,0,5,0,1,4,0,0,4,3,5,0,0,4,5,1,5,1,0,0,0,3,4,4,0,0,0,3,4,4,5,4,5,1,4,0,0,2,0,0,5,3,0,0,3,0,0,0,5,4,4,0,4,0,0,2,0,0,0,1,0,3,0,2,4,4,0,5,5,0,4,0,5,0
46,0,4,0,4,4,4,3,0,4,5,0,4,0,3,5,5,5,1,4,4,3,0,0,4,3,0,0,0,5,5,0,5,2,0,0,0,5,5,0,0,5,2,3,5,4,0,0,5,5,0,0,0,2,0,4,4,0,4,2,2,0,3,0,5,0,1,0,0,1,5,4,2,0,3,5,5,4,3,3,3,0,0,5,0,0,4,4,5,5,0,0,0,0,4,0
47,0,4,5,3,5,0,5,1,0,4,1,0,2,3,0,4,0,1,4,0,3,4,2,0,0,3,3,1,0,0,0,0,0,4,4,4,4,5,5,0,5,0,3,0,3,4,0,0,5,0,0,4,3,5,4,5,3,0,0,4,5,4,0,0,4,5,0,0,0,0,0,5,4,4,5,0,1,0,4,3,4,2,0,0,0,2,4,2,0,5,4,5,4,5,0
48,0,4,0,4,4,4,0,0,0,0,4,3,4,2,0,0,3,4,5,5,3,4,5,5,0,3,0,0,0,4,3,4,5,0,0,3,0,4,5,5,3,3,0,4,0,5,0,0,0,4,1,5,5,0,2,0,0,0,0,5,5,0,5,3,4,0,5,0,5,0,0,0,5,3,3,5,0,4,1,2,3,4,0,4,2,0,0,4,0,5,0,5,0,0,1
49,5,4,5,3,0,0,0,3,3,0,4,0,0,5,1,0,3,0,4,5,3,0,0,3,5,3,0,0,4,5,0,0,0,5,5,0,0,5,0,4,0,5,3,0,2,0,5,4,4,4,3,0,5,3,5,5,0,0,0,0,4,0,5,0,0,1,0,4,0,0,0,5,0,0,0,4,4,0,0,0,3,0,4,5,0,0,4,0,0,0,3,5,0,5,3
50,0,5,4,2,0,5,0,4,0,5,0,0,0,4,4,4,4,0,5,3,0,4,0,3,3,0,0,0,0,0,2,0,4,5,0,3,0,0,4,5,4,5,1,4,0,0,0,0,2,4,3,4,4,4,3,0,0,5,0,0,0,5,0,5,3,5,0,3,0,2,3,0,4,0,0,0,0,0,4,3,5,4,5,0,0,1,5,2,3,0,4,5,4,2,5
51,0,0,4,0,0,0,5,0,5,4,0,0,4,5,4,1,3,0,1,1,0,2,5,2,0,0,2,5,5,0,0,0,2,3,0,5,4,0,2,2,0,0,4,2,0,0,5,5,5,2,5,3,2,1,0,4,0,1,5,1,4,3,1,0,4,4,0,5,0,4,5,0,3,3,0,4,4,0,5,5,0,0,5,0,2,5,3,0,1,4,4,1,0,4,0
52,4,0,5,0,2,1,4,0,5,5,0,5,0,3,5,4,2,0,0,0,5,3,0,2,0,2,0,1,5,3,4,4,4,4,0,5,0,2,3,0,4,1,1,0,0,4,0,2,5,0,1,0,5,0,1,4,0,0,0,5,0,0,0,5,0,5,5,0,4,3,2,4,2,5,0,4,4,5,0,0,3,0,4,5,5,1,5,5,0,0,2,5,2,4,0
53,5,5,0,4,1,5,0,0,0,5,5,5,4,5,3,3,0,2,0,3,4,0,3,3,1,0,4,1,2,2,4,0,0,0,5,2,5,5,4,0,4,5,2,0,0,4,0,5,0,5,1,0,0,5,4,5,4,5,0,0,0,4,2,0,0,0,5,0,4,5,0,5,0,0,5,1,5,3,5,5,3,5,4,0,4,5,0,4,3,0,0,2,0,5,3
54,0,4,4,0,0,0,0,3,0,0,0,0,5,0,3,0,0,5,1,5,4,0,0,0,5,0,0,3,5,4,5,4,0,4,4,5,5,4,3,0,4,5,0,0,1,4,4,0,4,5,4,4,5,5,3,0,3,4,0,0,0,0,2,0,4,0,4,0,0,4,0,5,0,5,1,0,0,4,4,0,5,4,5,5,5,3,0,1,3,4,4,4,1,0,0
55,0,5,0,4,0,4,5,3,0,1,5,5,0,1,4,5,0,5,4,5,4,0,0,4,3,5,0,1,0,4,0,0,5,4,0,5,5,0,0,4,1,5,5,3,0,5,3,3,0,0,4,0,3,2,0,4,4,5,5,5,0,0,2,5,5,0,0,5,3,4,4,3,4,5,3,2,5,3,4,5,5,0,4,0,4,0,4,0,0,0,3,4,0,4,4
56,4,0,3,0,0,0,4,4,0,0,3,4,5,4,3,5,0,4,4,3,0,5,4,0,4,0,0,4,0,0,5,0,0,0,2,0,5,4,0,0,4,4,5,0,0,4,0,0,5,0,4,5,0,0,0,3,0,0,0,0,0,2,4,0,0,5,5,2,4,1,5,2,4,5,0,0,0,2,3,5,3,1,0,5,3,1,4,4,3,4,3,4,3,0,5
57,5,5,0,5,5,5,5,4,0,1,0,5,0,4,1,5,1,5,2,1,4,2,1,4,0,0,0,5,5,0,4,0,0,0,0,1,5,0,5,1,5,4,5,1,4,5,4,0,0,5,0,0,5,3,0,0,3,0,4,0,0,2,2,2,5,0,3,2,0,1,0,0,0,0,5,0,4,3,4,0,0,0,5,0,0,4,0,4,4,0,5,5,4,3,0
58,0,3,2,0,4,0,0,2,0,2,4,0,0,3,4,5,4,0,3,0,4,0,0,4,0,1,3,3,5,0,4,3,0,3,5,3,0,4,0,0,5,5,1,0,4,0,3,1,1,0,4,5,3,5,3,0,4,2,0,3,4,4,3,0,5,0,0,5,5,5,0,0,5,2,1,0,0,0,2,0,4,5,5,0,3,5,0,1,0,0,0,0,4,5,0
59,3,0,4,4,0,1,0,4,5,4,5,4,0,5,5,3,4,5,5,4,5,0,0,5,0,3,0,4,0,0,4,1,5,3,0,0,2,0,5,5,1,4,0,5,5,0,5,3,5,0,0,4,0,5,4,0,0,2,5,5,2,5,4,5,5,0,0,0,5,5,3,1,1,4,0,5,0,0,4,0,3,0,0,3,0,5,5,0,0,0,0,0,4,0,0
60,0,5,0,5,4,0,5,0,1,4,1,5,4,0,4,0,5,5,3,0,5,4,4,0,0,4,1,4,4,0,3,0,0,5,0,4,0,0,4,0,0,0,1,5,0,0,5,0,4,2,0,0,3,0,1,5,0,0,4,3,3,0,0,0,0,0,0,2,4,4,3,4,4,0,0,4,0,4,4,0,0,0,3,0,0,3,4,3,3,1,3,1,0,4,0
61,0,0,0,0,0,0,4,3,5,0,3,4,4,3,5,4,4,0,5,0,0,5,5,0,3,2,5,4,0,4,4,4,0,1,0,0,3,0,4,4,4,1,5,4,2,1,0,0,5,4,0,5,5,0,4,5,3,4,0,0,4,5,0,4,5,0,5,0,2,4,3,3,0,5,0,4,0,1,4,0,0,3,0,0,1,0,0,4,0,5,0,4,4,0,4
62,5,1,0,0,1,2,0,0,4,0,2,0,4,0,4,0,5,0,4,3,0,4,5,2,0,0,4,0,5,0,0,4,0,0,0,4,4,4,4,5,5,2,4,2,0,5,3,0,0,0,5,5,5,5,0,0,5,0,3,4,4,4,1,4,5,4,4,5,5,0,0,5,0,0,5,4,0,4,4,0,2,3,0,0,0,4,4,5,5,0,2,2,5,2,4
63,0,0,1,0,4,3,5,0,4,0,4,3,4,4,5,0,3,4,4,4,3,0,5,4,5,4,5,0,4,4,2,0,4,4,0,5,3,4,0,5,0,5,0,0,4,5,5,4,0,0,5,5,4,0,3,0,4,5,4,5,5,0,0,5,3,0,0,5,0,4,0,0,0,0,5,2,0,4,5,0,4,1,4,4,2,0,5,0,3,5,0,5,0,4,0
64,0,0,4,5,0,0,4,5,4,0,1,4,0,0,3,0,0,4,4,5,5,0,0,4,5,4,2,2,4,0,0,0,0,0,0,5,4,0,2,0,0,4,5,5,5,5,5,4,0,4,0,3,0,4,5,0,5,0,2,3,3,5,4,4,3,0,4,0,4,3,0,4,2,0,1,0,0,1,4,0,0,2,5,4,3,0,5,0,2,1,4,0,4,3,1
65,3,5,0,2,4,4,0,0,0,3,4,0,0,1,4,0,5,4,4,0,3,0,0,0,5,5,5,0,0,0,4,5,5,0,4,4,5,0,0,0,5,0,3,4,5,5,0,0,5,4,3,3,0,0,0,1,5,3,4,5,0,0,5,5,4,4,1,0,1,0,4,3,5,0,0,1,0,3,0,5,2,4,5,1,3,4,4,4,2,0,1,4,3,4,4
66,4,5,5,0,4,0,4,4,3,4,5,0,5,4,4,0,0,3,3,5,1,0,0,5,3,0,4,5,5,0,4,4,2,5,5,0,4,0,5,2,3,5,4,5,0,4,5,5,5,4,0,3,3,0,5,0,3,4,2,4,5,0,4,1,0,2,0,5,0,0,0,2,0,0,0,3,0,0,0,5,3,4,2,3,0,3,5,5,5,4,2,4,0,0,3
67,0,0,4,0,0,0,0,3,4,4,0,3,0,0,4,0,0,3,0,4,0,2,3,3,5,0,0,0,0,5,0,0,4,0,5,1,0,0,3,5,0,5,4,0,3,0,4,4,0,4,4,0,0,3,5,0,0,0,0,0,4,1,5,0,0,0,3,0,2,3,0,0,0,0,3,4,2,3,0,5,5,4,5,2,5,2,0,1,3,4,0,4,4,0,5
68,4,0,5,0,3,4,5,0,5,0,5,5,5,5,4,4,0,5,0,5,5,0,0,3,1,4,0,4,0,2,1,0,3,5,0,4,3,4,0,4,5,1,1,5,4,0,5,1,0,1,0,5,5,0,2,3,5,0,1,3,0,1,0,0,2,0,0,3,3,5,3,5,5,3,4,5,5,4,5,5,0,2,5,4,4,0,3,4,0,0,4,4,1,0,4
69,0,0,0,5,0,4,5,3,1,0,5,3,4,0,4,3,0,0,1,0,0,4,5,0,4,0,0,0,4,4,0,0,0,3,5,4,1,0,0,0,3,0,5,4,1,3,0,4,0,5,0,4,3,0,0,0,0,0,0,5,2,3,4,0,5,2,0,1,0,5,3,4,0,0,0,0,4,0,0,5,0,0,5,4,5,0,3,5,3,0,0,5,2,0,0
70,0,3,4,3,0,3,5,3,4,0,0,1,0,0,5,0,0,1,5,0,1,0,4,0,0,5,0,0,5,5,5,3,3,4,4,0,5,0,5,0,4,5,5,4,4,5,0,4,1,0,0,5,0,0,5,5,0,0,2,0,0,5,0,5,2,4,3,0,0,3,0,0,4,5,4,0,0,5,0,4,5,4,4,3,0,3,5,2,0,5,4,0,0,0,4
